Time (EDT),AURSCO - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS
 1 Jan '19 06:00:00,0,0,0,0,0,0,0,0,0,0,0,17026.02667,206968.08,0,0,0,7443.573333,227501.04,0,400.2666667
 1 Jan '19 06:05:00,0,0,0,0,0,0,0,282.24,0,0,0,1736.773333,244114.5333,0,0,0,49742.96,168924.6667,0,687.2533333
 1 Jan '19 06:10:00,0,0,0,0,0,0,0,805.4666667,0,0,0,9088.106667,207631.1467,0,0,0,39583.30667,179834,0,1076.506667
 1 Jan '19 06:15:00,0,0,0,0,0,0,0,275.8933333,0,0,0,14381.49333,275477.44,0,0,0,61255.86667,221863.12,0,800.9066667
 1 Jan '19 06:20:00,0,0,0,0,0,0,0,0,0,0,0,6881.36,186461.1467,0,0,0,1697.36,186137.1467,0,804.1066667
 1 Jan '19 06:25:00,0,0,0,0,0,0,0,504.7733333,0,0,0,12281.41333,148030.4533,0,0,0,4576.08,193700.16,0,676.5866667
 1 Jan '19 06:30:00,0,0,0,0,0,0,0,282.2133333,0,0,0,13203.81333,154140.88,0,0,0,4492.026667,183048.9067,0,515.7066667
 1 Jan '19 06:35:00,0,0,0,0,0,0,0,0,0,0,0,30629.17333,178415.1733,0,0,0,1570.533333,166079.52,0,1291.066667
 1 Jan '19 06:40:00,0,0,0,0,0,0,0,0,0,0,0,1202.16,107767.1733,0,0,0,1656.24,240503.04,0,683.6
 1 Jan '19 06:45:00,0,0,0,0,0,0,0,516.8,0,0,0,951.0933333,109915.0667,0,0,0,2400.133333,151550.1867,0,522.4266667
 1 Jan '19 06:50:00,0,0,0,0,0,0,0,540.0533333,0,0,0,5071.333333,110018.4,0,0,0,29716.56,150102.1067,0,513.4666667
 1 Jan '19 06:55:00,0,0,0,0,0,0,0,540.0533333,0,0,0,5071.333333,110018.4,0,0,0,32136.82667,152310,0,649.68
 1 Jan '19 07:00:00,0,0,0,0,0,0,0,618.64,0,0,0,2995.6,130030.9333,0,0,0,3407.146667,182682.1867,0,511.44
